,user_transaction_time,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,pin_present,date,is_fraud
1497667,2018-12-25 01:31:30+00:00,OTHER,24.0,CHIP,192.19,187.2,NY,36,US,1.0,1.0,1.0,False,2018-12-25,0
904680,2018-12-25 22:06:26+00:00,ECOMMERCE,18.0,MANUAL,7.19,0.0,CA,6,US,0.0,0.0,0.0,False,2018-12-25,0
904673,2018-12-25 22:29:06+00:00,ECOMMERCE,33.0,MANUAL,17.5,1404.67,CA,6,US,0.0,0.0,0.0,False,2018-12-25,0
904811,2018-12-25 05:40:57+00:00,OTHER,32.0,CHIP,10.0,14.66,CA,6,US,1.0,1.0,1.0,False,2018-12-25,0
1704339,2018-12-25 21:05:55+00:00,OTHER,26.0,MAGSTRIPE,31.33,49.95,TX,48,US,1.0,1.0,1.0,False,2018-12-25,0
904802,2018-12-25 06:49:15+00:00,ECOMMERCE,16.0,MANUAL,60.98,332.72,CA,6,US,0.0,0.0,0.0,False,2018-12-25,0
1383059,2018-12-25 15:30:25+00:00,ECOMMERCE,26.0,MANUAL,225.36,152.58,MN,27,US,0.0,0.0,0.0,False,2018-12-25,0
904650,2018-12-25 23:45:41+00:00,ECOMMERCE,30.0,MANUAL,13.26,2220.49,CA,6,US,0.0,0.0,0.0,False,2018-12-25,0
1704356,2018-12-25 02:49:43+00:00,OTHER,26.0,CHIP,14.33,49.12,TX,48,US,1.0,1.0,1.0,False,2018-12-25,0
904830,2018-12-25 03:15:24+00:00,ECOMMERCE,27.0,MANUAL,30.5,2556.86,CA,6,US,0.0,0.0,0.0,False,2018-12-25,0
571029,2018-12-25 22:23:43+00:00,ECOMMERCE,52.0,MANUAL,14.7,5430.2,AR,5,US,0.0,0.0,0.0,False,2018-12-25,0
904660,2018-12-25 23:12:10+00:00,ECOMMERCE,26.0,MANUAL,28.6,1353.68,CA,6,US,0.0,0.0,0.0,False,2018-12-25,0
904658,2018-12-25 23:17:48+00:00,ECOMMERCE,28.0,MANUAL,35.99,1259.71,CA,6,US,0.0,0.0,0.0,False,2018-12-25,0
904865,2018-12-25 00:20:58+00:00,ECOMMERCE,27.0,MANUAL,325.09,60.7,CA,6,US,0.0,0.0,0.0,False,2018-12-25,0
1447350,2018-12-25 17:36:16+00:00,OTHER,8.0,CHIP,33.75,0.0,NJ,34,US,1.0,1.0,0.0,False,2018-12-25,0
