,user_transaction_time,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,pin_present,date,is_fraud
391,2018-12-25 12:30:50+00:00,ECOMMERCE,64.0,MANUAL,220.0,1270.96,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,1
392,2018-12-25 12:22:59+00:00,ECOMMERCE,61.0,MANUAL,220.0,1050.96,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,1
393,2018-12-25 12:08:10+00:00,ECOMMERCE,86.0,MANUAL,195.0,2100.96,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,1
394,2018-12-25 11:12:46+00:00,ECOMMERCE,43.0,MANUAL,220.0,1490.96,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,1
390,2019-01-27 21:00:20+00:00,ECOMMERCE,98.0,MANUAL,1426.6,4374.92,,,SK,0.0,0.0,0.0,False,2019-01-27,1
388,2019-05-06 21:37:37+00:00,OTHER,66.0,CHIP_FALLBACK,12.0,124.95,RI,44.0,US,1.0,1.0,1.0,False,2019-05-06,1
389,2019-05-06 21:12:34+00:00,OTHER,40.0,CHIP_FALLBACK,12.0,136.95,RI,44.0,US,1.0,1.0,1.0,False,2019-05-06,1
387,2019-05-07 15:47:03+00:00,OTHER,81.0,CHIP_FALLBACK,2.14,122.81,MA,25.0,US,1.0,1.0,1.0,False,2019-05-07,1
3110949,2019-05-21 14:19:44+00:00,ECOMMERCE,6.0,MANUAL,10.61,3565.88,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
2513427,2019-05-21 13:18:01+00:00,OTHER,8.0,CHIP,4.74,38.39,NJ,34.0,US,1.0,1.0,1.0,False,2019-05-21,0
492775,2019-05-21 09:34:26+00:00,ECOMMERCE,12.0,MANUAL,15.96,1609.53,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
492548,2019-05-21 19:15:25+00:00,ECOMMERCE,19.0,MANUAL,19.43,1260.72,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
218064,2019-05-21 13:57:05+00:00,ECOMMERCE,98.0,MANUAL,827.77,0.0,,,DE,0.0,0.0,0.0,False,2019-05-21,0
3110920,2019-05-21 18:45:25+00:00,ECOMMERCE,5.0,MANUAL,15.51,29.93,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
218053,2019-05-21 21:33:57+00:00,ECOMMERCE,42.0,MANUAL,53.56,633.23,,,HK,0.0,0.0,0.0,False,2019-05-21,0
3307592,2019-05-21 02:47:40+00:00,ECOMMERCE,6.0,MANUAL,133.86,15750.16,WI,55.0,US,0.0,0.0,0.0,False,2019-05-21,0
