,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,pin_present,date,is_fraud,hour,month,dayofweek,year
0,0,43.0,4,220.0,1490.96,33,24,0,0,0,0,2018-12-25,1,11,12,1,2018
1,0,86.0,4,195.0,2100.96,33,24,0,0,0,0,2018-12-25,1,12,12,1,2018
2,0,61.0,4,220.0,1050.96,33,24,0,0,0,0,2018-12-25,1,12,12,1,2018
3,0,64.0,4,220.0,1270.96,33,24,0,0,0,0,2018-12-25,1,12,12,1,2018
4,0,98.0,4,1426.6,4374.92,48,21,0,0,0,0,2019-01-27,1,21,1,6,2019
5,2,40.0,2,12.0,136.95,43,24,1,1,1,0,2019-05-06,1,21,5,0,2019
6,2,66.0,2,12.0,124.95,43,24,1,1,1,0,2019-05-06,1,21,5,0,2019
7,2,81.0,2,2.14,122.81,22,24,1,1,1,0,2019-05-07,1,15,5,1,2019
8,0,5.0,4,35.0,743.71,7,24,0,0,0,0,2019-05-21,0,13,5,1,2019
9,0,22.0,4,34.96,9896.13,4,24,0,0,0,0,2019-05-21,0,8,5,1,2019
10,0,25.0,4,97.0,286.49,7,24,0,0,0,0,2019-05-21,0,20,5,1,2019
11,0,25.0,4,129.4,9967.51,4,24,0,0,0,0,2019-05-21,0,9,5,1,2019
12,2,8.0,1,4.74,38.39,33,24,1,1,1,0,2019-05-21,0,13,5,1,2019
13,2,27.0,1,40.65,0.0,12,24,1,1,1,0,2019-05-21,0,22,5,1,2019
14,0,5.0,4,50.0,0.0,36,24,0,0,0,0,2019-05-21,0,17,5,1,2019
15,0,1.0,5,5.85,945.96,12,24,0,0,0,0,2019-05-21,0,15,5,1,2019
16,0,22.0,4,89.0,21982.97,4,24,0,0,0,0,2019-05-21,0,8,5,1,2019
17,2,26.0,1,26.99,98.58,7,24,1,1,1,0,2019-05-21,0,3,5,1,2019
18,0,10.0,4,21.06,2843.65,7,24,0,0,0,0,2019-05-21,0,21,5,1,2019
19,2,28.0,1,664.34,1506.44,12,24,1,1,0,0,2019-05-21,0,23,5,1,2019
20,0,34.0,4,69.94,1877.69,4,24,0,0,0,0,2019-05-21,0,20,5,1,2019
21,0,5.0,4,13.04,1506.36,52,24,0,0,0,0,2019-05-21,0,20,5,1,2019
22,0,20.0,4,27.28,1567.55,13,24,0,0,1,0,2019-05-21,0,3,5,1,2019
23,2,1.0,4,10.0,1744.15,7,24,0,0,1,0,2019-05-21,0,18,5,1,2019
24,0,16.0,4,25.87,8631.39,4,24,0,0,0,0,2019-05-21,0,6,5,1,2019
25,0,27.0,4,47.83,4425.89,4,24,0,0,0,0,2019-05-21,0,19,5,1,2019
26,0,11.0,4,106.24,7606.13,52,24,0,0,0,0,2019-05-21,0,13,5,1,2019
27,0,71.0,4,183.63,1131.48,48,8,0,0,0,0,2019-05-21,1,13,5,1,2019
28,0,6.0,4,10.61,3565.88,52,24,0,0,0,0,2019-05-21,0,14,5,1,2019
29,0,22.0,4,146.56,126.9,46,24,0,0,0,0,2019-05-21,0,13,5,1,2019
30,0,22.0,4,54.75,334.46,4,24,0,0,0,0,2019-05-21,0,2,5,1,2019
31,2,15.0,1,6.69,27.88,47,24,1,1,1,0,2019-05-21,0,21,5,1,2019
32,2,10.0,4,1531.0,730.37,22,24,0,0,0,0,2019-05-21,0,16,5,1,2019
33,0,12.0,4,15.96,1609.53,4,24,0,0,0,0,2019-05-21,0,9,5,1,2019
34,0,19.0,4,19.43,1260.72,4,24,0,0,0,0,2019-05-21,0,19,5,1,2019
35,0,98.0,4,827.77,0.0,48,4,0,0,0,0,2019-05-21,0,13,5,1,2019
36,0,5.0,4,15.51,29.93,52,24,0,0,0,0,2019-05-21,0,18,5,1,2019
37,2,25.0,3,52.47,71.77,12,24,1,1,0,0,2019-05-21,0,13,5,1,2019
38,0,42.0,4,53.56,633.23,48,9,0,0,0,0,2019-05-21,0,21,5,1,2019
39,0,6.0,4,133.86,15750.16,53,24,0,0,0,0,2019-05-21,0,2,5,1,2019
40,0,14.0,4,9.93,8198.28,52,24,0,0,0,0,2019-05-21,0,12,5,1,2019
41,2,29.0,1,59.91,181.43,7,24,1,1,1,0,2019-05-21,0,2,5,1,2019
42,2,23.0,1,77.19,354.96,12,24,1,1,1,0,2019-05-21,0,17,5,1,2019
43,0,29.0,4,303.79,8961.83,33,24,0,0,0,0,2019-05-21,0,13,5,1,2019
44,2,24.0,3,11.19,1081.26,17,24,1,1,0,0,2019-05-21,0,18,5,1,2019
45,0,27.0,4,30.56,3456.78,4,24,0,0,0,0,2019-05-21,0,6,5,1,2019
46,0,32.0,4,47.83,4876.49,4,24,0,0,0,0,2019-05-21,0,10,5,1,2019
47,0,15.0,4,34.96,1249.83,4,24,0,0,0,0,2019-05-21,0,18,5,1,2019
48,2,12.0,1,40.12,2083.82,12,24,1,1,1,0,2019-05-21,0,0,5,1,2019
49,0,36.0,4,35.0,8448.44,4,24,0,0,0,0,2019-05-21,0,2,5,1,2019
50,2,19.0,3,6.47,62.68,43,24,1,1,0,0,2019-05-21,0,16,5,1,2019
51,0,19.0,4,299.99,13529.06,4,24,0,0,0,0,2019-05-21,0,14,5,1,2019
52,0,8.0,4,35.55,196.75,4,24,0,0,0,0,2019-05-21,0,20,5,1,2019
53,0,19.0,4,46.26,3634.96,22,24,0,0,0,0,2019-05-21,0,16,5,1,2019
54,0,9.0,4,15.87,1505.84,52,24,0,0,0,0,2019-05-21,0,7,5,1,2019
55,0,25.0,4,47.67,3587.29,22,24,0,0,0,0,2019-05-21,0,16,5,1,2019
56,0,3.0,4,8.44,0.0,17,24,0,0,0,0,2019-05-21,0,4,5,1,2019
57,0,6.0,4,20.73,35.55,4,24,0,0,0,0,2019-05-21,0,2,5,1,2019
58,0,6.0,4,62.89,28.55,12,24,0,0,0,0,2019-05-21,0,14,5,1,2019
59,2,16.0,1,8.78,219.94,31,24,1,1,1,0,2019-05-21,0,2,5,1,2019
60,0,16.0,4,35.28,2279.86,4,24,0,0,0,0,2019-05-21,0,23,5,1,2019
61,2,13.0,1,9.06,499.7,8,24,1,1,1,0,2019-05-21,0,22,5,1,2019
62,0,14.0,4,10.59,2806.11,41,24,0,0,0,0,2019-05-28,0,21,5,1,2019
63,0,11.0,4,43.19,2532.31,33,24,0,0,0,0,2019-05-28,0,4,5,1,2019
64,0,20.0,4,30.56,3811.19,4,24,0,0,0,0,2019-05-28,0,15,5,1,2019
65,0,2.0,4,19.99,2088.16,7,24,0,0,0,0,2019-05-28,0,2,5,1,2019
66,0,20.0,4,36.95,5445.4,4,24,0,0,0,0,2019-05-28,0,8,5,1,2019
67,0,5.0,4,25.9,918.42,12,24,0,0,0,0,2019-05-28,0,13,5,1,2019
68,2,5.0,1,80.87,0.0,20,24,1,1,1,0,2019-05-28,0,14,5,1,2019
69,0,17.0,4,37.63,6794.05,4,24,0,0,0,0,2019-05-28,0,16,5,1,2019
70,0,6.0,4,78.14,1988.56,4,24,0,0,0,0,2019-05-28,0,19,5,1,2019
71,0,19.0,4,27.92,3971.13,33,24,0,0,0,0,2019-05-28,0,17,5,1,2019
72,2,18.0,1,106.67,2121.11,7,24,1,1,1,0,2019-05-28,0,16,5,1,2019
73,2,28.0,1,23.7,83.13,40,24,1,1,0,0,2019-05-28,0,1,5,1,2019
74,0,18.0,5,2000.0,3798.88,24,24,0,0,0,0,2019-05-28,0,16,5,1,2019
75,2,11.0,1,33.23,67.9,23,24,1,1,1,0,2019-05-28,0,13,5,1,2019
76,0,25.0,4,28.1,2394.44,4,24,0,0,0,0,2019-05-28,0,17,5,1,2019
77,0,9.0,4,234.74,0.0,25,24,0,0,0,0,2019-05-28,0,21,5,1,2019
78,0,15.0,4,28.43,3864.8,4,24,0,0,0,0,2019-05-28,0,9,5,1,2019
79,0,20.0,4,13.22,1762.82,7,24,0,0,0,0,2019-05-28,0,18,5,1,2019
80,0,2.0,4,13.28,5577.84,36,24,0,0,0,0,2019-05-28,0,15,5,1,2019
81,2,18.0,1,3.97,67.39,47,24,1,1,0,0,2019-05-28,0,18,5,1,2019
82,2,32.0,4,201.6,248.3,12,24,0,1,1,0,2019-05-28,1,18,5,1,2019
83,0,1.0,4,113.06,128.65,25,24,0,0,0,0,2019-05-28,0,21,5,1,2019
84,2,15.0,1,19.36,58.11,27,24,1,1,1,0,2019-05-28,0,20,5,1,2019
85,0,15.0,4,35.82,533.8,4,24,0,0,0,0,2019-05-28,0,17,5,1,2019
86,0,2.0,4,39.62,1555.33,7,24,0,0,0,0,2019-05-28,0,4,5,1,2019
87,0,21.0,4,33.56,1399.43,4,24,0,0,0,0,2019-05-28,0,8,5,1,2019
88,0,3.0,4,30.0,0.0,37,24,0,0,0,0,2019-05-28,0,23,5,1,2019
89,0,5.0,4,6.05,398.52,7,24,0,0,0,0,2019-05-28,0,10,5,1,2019
90,0,2.0,4,22.32,292.43,52,24,0,0,0,0,2019-05-28,0,19,5,1,2019
91,2,22.0,1,527.84,0.0,7,24,1,1,1,0,2019-05-28,0,18,5,1,2019
92,0,1.0,4,12.7,1439.5,7,24,0,0,0,0,2019-05-28,0,12,5,1,2019
93,0,19.0,4,21.83,12189.7,4,24,0,0,0,0,2019-05-28,0,7,5,1,2019
94,0,3.0,4,98.14,100.0,7,24,0,0,0,0,2019-05-28,0,1,5,1,2019
95,2,23.0,3,13.24,0.0,47,24,1,1,0,0,2019-05-28,0,1,5,1,2019
96,0,9.0,4,29.77,50.05,7,24,0,0,0,0,2019-05-28,0,16,5,1,2019
97,2,9.0,1,33.24,117.01,27,24,1,1,0,0,2019-05-28,0,0,5,1,2019
98,2,5.0,1,54.91,194.33,40,24,1,1,1,0,2019-05-28,0,16,5,1,2019
99,0,27.0,4,79.99,14382.11,4,24,0,0,0,0,2019-05-28,0,9,5,1,2019
100,0,20.0,4,20.46,1675.31,7,24,0,0,0,0,2019-05-28,0,17,5,1,2019
101,2,17.0,4,255.52,0.0,25,24,0,0,0,0,2019-05-28,0,9,5,1,2019
102,0,36.0,4,55.3,2505.2,4,24,0,0,0,0,2019-05-28,0,17,5,1,2019
103,2,8.0,1,6.86,270.92,7,24,1,1,1,0,2019-05-28,0,23,5,1,2019
104,0,11.0,4,14.19,276.5,4,24,0,0,0,0,2019-05-28,0,4,5,1,2019
105,0,1.0,4,4.78,1178.39,7,24,0,0,0,0,2019-05-28,0,11,5,1,2019
106,0,1.0,4,109.99,1437.64,7,24,0,0,0,0,2019-05-28,0,4,5,1,2019
107,2,8.0,1,13.07,631.34,47,24,1,1,1,0,2019-05-28,0,17,5,1,2019
108,0,6.0,4,43.79,687.83,4,24,0,0,0,0,2019-05-28,0,18,5,1,2019
109,0,10.0,4,38.22,349.34,4,24,0,0,0,0,2019-05-28,0,22,5,1,2019
110,2,26.0,1,88.44,157.61,12,24,1,1,1,0,2019-05-28,0,21,5,1,2019
111,0,16.0,4,18.04,2700.0,49,24,0,0,0,0,2019-05-28,0,3,5,1,2019
112,0,14.0,4,41.09,6200.45,4,24,0,0,0,0,2019-05-28,0,22,5,1,2019
113,0,11.0,4,3.51,2335.79,13,24,0,0,1,0,2019-05-28,0,22,5,1,2019
114,0,21.0,4,191.8,2976.65,13,24,0,0,0,0,2019-05-28,0,3,5,1,2019
115,2,7.0,1,78.95,359.14,40,24,1,1,1,0,2019-05-28,0,18,5,1,2019
116,0,5.0,4,1966.9,987.15,12,24,0,0,0,0,2019-05-28,0,18,5,1,2019
117,0,24.0,4,28.77,70.4,52,24,0,0,0,0,2019-05-28,0,17,5,1,2019
118,2,30.0,1,21.49,450.03,12,24,1,1,1,0,2019-05-28,0,18,5,1,2019
119,0,20.0,4,17.32,202.13,4,24,0,0,0,0,2019-05-28,0,6,5,1,2019
120,0,22.0,4,45.98,1222.41,7,24,0,0,0,0,2019-06-06,0,4,6,3,2019
121,0,2.0,4,18.0,5206.08,7,24,0,0,0,0,2019-06-06,0,9,6,3,2019
122,0,4.0,4,500.0,500.0,7,24,0,0,0,0,2019-06-06,0,14,6,3,2019
123,2,29.0,1,20.0,91.93,3,24,1,1,0,0,2019-06-06,0,15,6,3,2019
124,0,28.0,4,140.23,3958.15,4,24,0,0,0,0,2019-06-06,0,19,6,3,2019
125,0,1.0,4,19.28,3188.17,4,24,0,0,0,0,2019-06-06,0,15,6,3,2019
126,0,1.0,4,1.16,1303.05,7,24,0,0,0,0,2019-06-06,0,15,6,3,2019
127,0,16.0,4,1.26,439.24,7,24,0,0,0,0,2019-06-06,0,16,6,3,2019
128,2,29.0,1,368.58,790.61,37,24,1,1,1,0,2019-06-06,0,11,6,3,2019
129,0,5.0,4,20.93,4347.9,4,24,0,0,0,0,2019-06-06,0,15,6,3,2019
130,0,25.0,4,87.99,819.59,7,24,0,0,0,0,2019-06-06,0,20,6,3,2019
131,0,1.0,4,10.79,3004.8,7,24,0,0,0,0,2019-06-06,0,10,6,3,2019
132,0,14.0,4,42.15,5730.14,4,24,0,0,0,0,2019-06-06,0,2,6,3,2019
133,0,11.0,4,11.15,8155.68,4,24,0,0,0,0,2019-06-06,0,15,6,3,2019
134,2,17.0,1,56.31,50.19,29,24,1,1,0,0,2019-06-06,0,19,6,3,2019
135,0,1.0,4,0.99,6967.49,7,24,0,0,0,0,2019-06-06,0,19,6,3,2019
136,0,10.0,4,13.97,4513.19,4,24,0,0,0,0,2019-06-06,0,23,6,3,2019
137,0,5.0,4,31.66,7201.02,4,24,0,0,0,0,2019-06-06,0,2,6,3,2019
138,0,2.0,4,32.3,1304.21,7,24,0,0,0,0,2019-06-06,0,14,6,3,2019
139,0,1.0,4,1.08,3003.72,7,24,0,0,0,0,2019-06-06,0,10,6,3,2019
140,0,5.0,4,59.9,2154.12,4,24,0,0,0,0,2019-06-06,0,11,6,3,2019
141,0,18.0,4,35.87,8166.83,4,24,0,0,0,0,2019-06-06,0,10,6,3,2019
142,0,4.0,4,29.99,6227.25,7,24,0,0,0,0,2019-06-06,0,9,6,3,2019
143,0,18.0,4,6.79,5937.93,41,24,0,0,0,0,2019-06-06,0,23,6,3,2019
144,2,5.0,4,14.0,771.0,46,24,0,0,1,0,2019-06-06,0,18,6,3,2019
145,0,8.0,4,6.0,12.63,49,24,0,0,0,0,2019-06-06,0,7,6,3,2019
146,0,1.0,4,21.43,1911.48,7,24,0,0,0,0,2019-06-06,0,5,6,3,2019
147,2,5.0,5,4.55,182.54,43,24,0,0,0,0,2019-06-06,0,20,6,3,2019
148,0,23.0,4,52.73,1471.96,4,24,0,0,0,0,2019-06-06,0,20,6,3,2019
149,0,16.0,4,10.97,2574.63,4,24,0,0,0,0,2019-06-06,0,12,6,3,2019
150,2,29.0,1,11.81,0.0,29,24,1,1,1,0,2019-06-06,0,4,6,3,2019
151,0,1.0,4,1.57,4160.85,7,24,0,0,0,0,2019-06-06,0,10,6,3,2019
152,2,55.0,4,93.95,353.43,7,24,0,0,0,0,2019-06-06,0,12,6,3,2019
153,0,13.0,4,21.06,2252.79,7,24,0,0,0,0,2019-06-06,0,16,6,3,2019
154,2,15.0,1,27.0,0.0,8,24,1,1,0,0,2019-06-06,0,18,6,3,2019
155,0,7.0,4,38.99,531.17,52,24,0,0,0,0,2019-06-06,0,22,6,3,2019
156,0,26.0,4,17.98,1452.57,4,24,0,0,0,0,2019-06-06,0,16,6,3,2019
157,2,9.0,5,3.57,131.51,43,24,0,0,0,0,2019-06-06,0,20,6,3,2019
158,0,30.0,4,35.76,818.83,4,24,0,0,0,0,2019-06-06,0,17,6,3,2019
159,0,3.0,4,50.0,920.24,7,24,0,0,0,0,2019-06-06,0,21,6,3,2019
160,0,32.0,4,35.41,5139.62,4,24,0,0,0,0,2019-06-06,0,0,6,3,2019
161,0,1.0,4,19.9,1045.24,7,24,0,0,0,0,2019-06-06,0,22,6,3,2019
162,0,19.0,4,52.95,1531.03,7,24,0,0,0,0,2019-06-06,0,4,6,3,2019
163,0,17.0,4,9.34,2040.67,4,24,0,0,0,0,2019-06-06,0,13,6,3,2019
164,0,93.0,4,83.99,1871.63,48,12,0,0,0,0,2019-06-06,1,13,6,3,2019
165,0,3.0,4,47.12,4335.66,41,24,0,0,0,0,2019-06-06,0,1,6,3,2019
166,0,35.0,4,64.88,4543.4,4,24,0,0,0,0,2019-06-06,0,0,6,3,2019
167,2,10.0,5,3.49,300.41,43,24,0,0,0,0,2019-06-06,0,19,6,3,2019
168,0,1.0,4,10.28,909.96,7,24,0,0,0,0,2019-06-06,0,21,6,3,2019
169,0,18.0,4,6.52,273.59,7,24,0,0,0,0,2019-06-06,0,16,6,3,2019
170,0,7.0,4,215.96,184.02,25,24,0,0,0,0,2019-06-06,0,15,6,3,2019
171,2,17.0,1,10.0,14.9,13,24,1,1,1,0,2019-06-06,0,20,6,3,2019
172,0,2.0,4,3.44,3983.73,7,24,0,0,0,0,2019-06-06,0,11,6,3,2019
173,0,1.0,4,15.61,369.39,4,24,0,0,0,0,2019-06-06,0,21,6,3,2019
174,2,8.0,1,45.39,9.23,52,24,1,1,1,0,2019-06-06,0,22,6,3,2019
175,0,1.0,4,10.75,1231.41,7,24,0,0,0,0,2019-06-06,0,1,6,3,2019
176,0,1.0,4,1.92,1364.37,7,24,0,0,0,0,2019-06-06,0,2,6,3,2019
177,2,3.0,4,49.45,618.87,36,24,0,0,0,0,2019-06-06,0,16,6,3,2019
178,0,2.0,4,2.18,3340.15,7,24,0,0,0,0,2019-06-06,0,22,6,3,2019
179,0,8.0,4,14.03,81.63,52,24,0,0,0,0,2019-06-06,0,13,6,3,2019
180,0,31.0,4,40.99,909.86,22,24,0,0,0,0,2019-06-06,0,10,6,3,2019
181,2,6.0,1,11.01,0.0,29,24,1,1,1,0,2019-06-06,0,18,6,3,2019
182,0,14.0,4,83.85,2436.18,7,24,0,0,0,0,2019-06-06,0,12,6,3,2019
183,0,3.0,5,73.94,2863.04,12,24,0,0,0,0,2019-06-06,0,14,6,3,2019
184,0,15.0,4,34.91,956.84,4,24,0,0,0,0,2019-06-06,0,12,6,3,2019
185,2,9.0,1,49.46,265.21,13,24,1,1,0,0,2019-06-06,0,11,6,3,2019
186,0,89.0,4,48.8,1955.31,48,12,0,0,0,0,2019-06-06,1,13,6,3,2019
187,0,16.0,4,35.88,3479.52,4,24,0,0,0,0,2019-06-06,0,18,6,3,2019
188,0,25.0,5,8.19,6647.7,8,24,0,0,0,0,2019-06-25,0,17,6,1,2019
189,0,4.0,4,875.14,2.0,25,24,0,0,0,0,2019-06-25,0,12,6,1,2019
190,0,24.0,4,13.74,4688.68,7,24,0,0,0,0,2019-06-25,0,16,6,1,2019
191,0,22.0,4,33.0,728.46,7,24,0,0,0,0,2019-06-25,0,6,6,1,2019
192,0,23.0,4,129.4,13378.14,4,24,0,0,0,0,2019-06-25,0,7,6,1,2019
193,2,18.0,1,193.0,46.96,50,24,1,1,1,0,2019-06-25,0,20,6,1,2019
194,2,17.0,3,11.56,0.0,25,24,1,1,0,0,2019-06-25,0,23,6,1,2019
195,0,17.0,4,39.69,4012.35,41,24,0,0,0,0,2019-06-25,0,2,6,1,2019
196,2,19.0,1,12.47,0.0,5,24,1,1,1,0,2019-06-25,0,0,6,1,2019
197,0,4.0,5,398.57,605.98,12,24,0,0,0,0,2019-06-25,0,17,6,1,2019
198,2,12.0,1,5.0,1427.09,40,24,1,1,1,0,2019-06-25,0,18,6,1,2019
199,0,26.0,4,6.52,4755.9,7,24,0,0,0,0,2019-06-25,0,16,6,1,2019
200,0,1.0,4,18.09,629.51,35,24,0,0,0,0,2019-06-25,0,18,6,1,2019
201,0,9.0,4,79.76,3218.8,4,24,0,0,0,0,2019-06-25,0,23,6,1,2019
202,0,4.0,4,9.98,4679.28,52,24,0,0,0,0,2019-06-25,0,1,6,1,2019
203,0,19.0,4,14.19,788.15,4,24,0,0,0,0,2019-06-25,0,5,6,1,2019
204,0,33.0,4,1145.09,1806.34,48,9,0,0,0,0,2019-06-25,0,6,6,1,2019
205,2,12.0,1,33.2,976.08,25,24,1,1,1,0,2019-06-25,0,22,6,1,2019
206,0,8.0,4,6.99,7398.67,52,24,0,0,0,0,2019-06-25,0,22,6,1,2019
207,2,15.0,1,13.69,39.81,3,24,1,1,1,0,2019-06-25,0,16,6,1,2019
208,0,24.0,4,21.91,1612.28,4,24,0,0,0,0,2019-06-25,0,4,6,1,2019
209,0,20.0,4,13.97,5506.94,4,24,0,0,0,0,2019-06-25,0,19,6,1,2019
210,0,18.0,4,32.96,6602.09,52,24,0,0,0,0,2019-06-25,0,16,6,1,2019
211,0,10.0,4,33.28,5362.69,33,24,0,0,0,0,2019-06-25,0,7,6,1,2019
212,0,19.0,4,39.97,16614.22,4,24,0,0,0,0,2019-06-25,0,7,6,1,2019
213,2,94.0,4,1021.7,955.53,52,24,0,1,0,0,2019-06-25,1,22,6,1,2019
214,2,7.0,1,35.0,0.0,47,24,1,1,1,0,2019-06-25,0,16,6,1,2019
215,0,25.0,4,79.98,3892.56,7,24,0,0,0,0,2019-06-25,0,2,6,1,2019
216,0,16.0,4,71.92,2381.75,4,24,0,0,0,0,2019-06-25,0,8,6,1,2019
