,user_transaction_time,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,pin_present,date,is_fraud
394,2018-12-25 11:12:46+00:00,ECOMMERCE,43.0,MANUAL,220.0,1490.96,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,1
393,2018-12-25 12:08:10+00:00,ECOMMERCE,86.0,MANUAL,195.0,2100.96,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,1
392,2018-12-25 12:22:59+00:00,ECOMMERCE,61.0,MANUAL,220.0,1050.96,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,1
391,2018-12-25 12:30:50+00:00,ECOMMERCE,64.0,MANUAL,220.0,1270.96,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,1
390,2019-01-27 21:00:20+00:00,ECOMMERCE,98.0,MANUAL,1426.6,4374.92,,,SK,0.0,0.0,0.0,False,2019-01-27,1
388,2019-05-06 21:37:37+00:00,OTHER,66.0,CHIP_FALLBACK,12.0,124.95,RI,44.0,US,1.0,1.0,1.0,False,2019-05-06,1
389,2019-05-06 21:12:34+00:00,OTHER,40.0,CHIP_FALLBACK,12.0,136.95,RI,44.0,US,1.0,1.0,1.0,False,2019-05-06,1
387,2019-05-07 15:47:03+00:00,OTHER,81.0,CHIP_FALLBACK,2.14,122.81,MA,25.0,US,1.0,1.0,1.0,False,2019-05-07,1
492528,2019-05-21 19:46:57+00:00,ECOMMERCE,27.0,MANUAL,47.83,4425.89,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
1117253,2019-05-21 18:09:12+00:00,OTHER,1.0,MANUAL,10.0,1744.15,CA,6,US,0.0,0.0,1.0,False,2019-05-21,0
1588163,2019-05-21 23:11:42+00:00,OTHER,28.0,CHIP,664.34,1506.44,FL,12,US,1.0,1.0,0.0,False,2019-05-21,0
3110908,2019-05-21 20:00:05+00:00,ECOMMERCE,5.0,MANUAL,13.04,1506.36,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
492499,2019-05-21 20:32:14+00:00,ECOMMERCE,34.0,MANUAL,69.94,1877.69,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
2893951,2019-05-21 13:09:11+00:00,ECOMMERCE,22.0,MANUAL,146.56,126.9,TN,47.0,US,0.0,0.0,0.0,False,2019-05-21,0
1117176,2019-05-21 21:41:39+00:00,ECOMMERCE,10.0,MANUAL,21.06,2843.65,CA,6,US,0.0,0.0,0.0,False,2019-05-21,0
492884,2019-05-21 06:42:34+00:00,ECOMMERCE,16.0,MANUAL,25.87,8631.39,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
2937104,2019-05-21 21:56:48+00:00,OTHER,15.0,CHIP,6.69,27.88,TX,48.0,US,1.0,1.0,1.0,False,2019-05-21,0
492821,2019-05-21 08:25:47+00:00,ECOMMERCE,22.0,MANUAL,34.96,9896.13,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
1117205,2019-05-21 20:26:10+00:00,ECOMMERCE,25.0,MANUAL,97.0,286.49,CA,6,US,0.0,0.0,0.0,False,2019-05-21,0
492797,2019-05-21 09:03:41+00:00,ECOMMERCE,25.0,MANUAL,129.4,9967.51,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
1117438,2019-05-21 03:23:08+00:00,OTHER,26.0,CHIP,26.99,98.58,CA,6,US,1.0,1.0,1.0,False,2019-05-21,0
1588166,2019-05-21 22:18:31+00:00,OTHER,27.0,CHIP,40.65,0.0,FL,12,US,1.0,1.0,1.0,False,2019-05-21,0
2655682,2019-05-21 17:28:13+00:00,ECOMMERCE,5.0,MANUAL,50.0,0.0,NY,36,US,0.0,0.0,0.0,False,2019-05-21,0
1588248,2019-05-21 15:09:02+00:00,ECOMMERCE,1.0,UNKNOWN,5.85,945.96,FL,12,US,0.0,0.0,0.0,False,2019-05-21,0
3110953,2019-05-21 13:49:42+00:00,ECOMMERCE,11.0,MANUAL,106.24,7606.13,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
3110991,2019-05-21 08:47:10+00:00,ECOMMERCE,2.0,MANUAL,16.12,1519.4,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
492687,2019-05-21 12:59:06+00:00,ECOMMERCE,20.0,MANUAL,69.24,8580.25,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
492557,2019-05-21 18:27:42+00:00,ECOMMERCE,20.0,MANUAL,34.96,1179.91,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
3110968,2019-05-21 12:00:33+00:00,ECOMMERCE,5.0,MANUAL,69.95,4051.45,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
1117448,2019-05-21 02:26:44+00:00,ECOMMERCE,2.0,MANUAL,20.99,3747.04,CA,6,US,0.0,0.0,0.0,False,2019-05-21,0
2390272,2019-05-21 00:05:14+00:00,OTHER,17.0,MAGSTRIPE,45.49,26.17,MN,27.0,US,1.0,1.0,1.0,False,2019-05-21,0
492661,2019-05-21 13:55:47+00:00,ECOMMERCE,24.0,MANUAL,35.06,1064.04,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
492766,2019-05-21 09:45:41+00:00,ECOMMERCE,23.0,MANUAL,51.88,11190.36,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
71984,2019-05-21 19:21:16+00:00,OTHER,14.0,CHIP,66.74,2120.27,AL,1.0,US,1.0,1.0,0.0,False,2019-05-21,0
492873,2019-05-21 06:52:43+00:00,ECOMMERCE,16.0,MANUAL,25.87,8796.48,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
2513446,2019-05-21 02:02:43+00:00,OTHER,27.0,CHIP,22.91,12.0,NJ,34.0,US,1.0,1.0,1.0,False,2019-05-21,0
1117266,2019-05-21 17:19:21+00:00,ECOMMERCE,21.0,MANUAL,13.22,791.03,CA,6,US,0.0,0.0,0.0,False,2019-05-21,0
1588194,2019-05-21 19:18:52+00:00,OTHER,30.0,CHIP,59.68,32.14,FL,12,US,1.0,1.0,0.0,False,2019-05-21,0
1117426,2019-05-21 04:19:59+00:00,OTHER,16.0,CHIP,3.26,7.45,CA,6,US,1.0,1.0,1.0,False,2019-05-21,0
492957,2019-05-21 03:19:33+00:00,ECOMMERCE,23.0,MANUAL,29.03,3728.93,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
492531,2019-05-21 19:44:55+00:00,ECOMMERCE,5.0,MANUAL,27.64,613.28,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
2157504,2019-05-21 17:10:11+00:00,ECOMMERCE,6.0,MANUAL,131.92,1080.29,IL,17,US,0.0,0.0,0.0,False,2019-05-21,0
492809,2019-05-21 08:46:15+00:00,ECOMMERCE,22.0,MANUAL,89.0,21982.97,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
1972644,2019-05-21 03:02:20+00:00,ECOMMERCE,20.0,MANUAL,27.28,1567.55,GA,13.0,US,0.0,0.0,1.0,False,2019-05-21,0
1117321,2019-05-21 13:58:41+00:00,ECOMMERCE,5.0,MANUAL,35.0,743.71,CA,6,US,0.0,0.0,0.0,False,2019-05-21,0
1588271,2019-05-21 13:17:35+00:00,OTHER,25.0,MAGSTRIPE,52.47,71.77,FL,12,US,1.0,1.0,0.0,False,2019-05-21,0
218064,2019-05-21 13:57:05+00:00,ECOMMERCE,98.0,MANUAL,827.77,0.0,,,DE,0.0,0.0,0.0,False,2019-05-21,0
3110920,2019-05-21 18:45:25+00:00,ECOMMERCE,5.0,MANUAL,15.51,29.93,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
492559,2019-05-21 18:23:59+00:00,ECOMMERCE,15.0,MANUAL,34.96,1249.83,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
218053,2019-05-21 21:33:57+00:00,ECOMMERCE,42.0,MANUAL,53.56,633.23,,,HK,0.0,0.0,0.0,False,2019-05-21,0
3307592,2019-05-21 02:47:40+00:00,ECOMMERCE,6.0,MANUAL,133.86,15750.16,WI,55.0,US,0.0,0.0,0.0,False,2019-05-21,0
492962,2019-05-21 02:57:30+00:00,ECOMMERCE,22.0,MANUAL,54.75,334.46,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
1117442,2019-05-21 02:59:04+00:00,OTHER,29.0,CHIP,59.91,181.43,CA,6,US,1.0,1.0,1.0,False,2019-05-21,0
1588205,2019-05-21 17:47:59+00:00,OTHER,23.0,CHIP,77.19,354.96,FL,12,US,1.0,1.0,1.0,False,2019-05-21,0
2513426,2019-05-21 13:18:22+00:00,ECOMMERCE,29.0,MANUAL,303.79,8961.83,NJ,34.0,US,0.0,0.0,0.0,False,2019-05-21,0
2157499,2019-05-21 18:22:47+00:00,OTHER,24.0,MAGSTRIPE,11.19,1081.26,IL,17,US,1.0,1.0,0.0,False,2019-05-21,0
492866,2019-05-21 06:58:09+00:00,ECOMMERCE,27.0,MANUAL,30.56,3456.78,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
492720,2019-05-21 10:38:16+00:00,ECOMMERCE,32.0,MANUAL,47.83,4876.49,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
492976,2019-05-21 02:01:57+00:00,ECOMMERCE,36.0,MANUAL,35.0,8448.44,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
1588288,2019-05-21 00:03:42+00:00,OTHER,12.0,CHIP,40.12,2083.82,FL,12,US,1.0,1.0,1.0,False,2019-05-21,0
386,2019-05-21 13:15:02+00:00,ECOMMERCE,71.0,MANUAL,183.63,1131.48,,,GB,0.0,0.0,0.0,False,2019-05-21,1
492548,2019-05-21 19:15:25+00:00,ECOMMERCE,19.0,MANUAL,19.43,1260.72,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
492775,2019-05-21 09:34:26+00:00,ECOMMERCE,12.0,MANUAL,15.96,1609.53,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
3110965,2019-05-21 12:11:02+00:00,ECOMMERCE,14.0,MANUAL,9.93,8198.28,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
3110949,2019-05-21 14:19:44+00:00,ECOMMERCE,6.0,MANUAL,10.61,3565.88,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
2333759,2019-05-21 16:58:56+00:00,OTHER,10.0,MANUAL,1531.0,730.37,MA,25.0,US,0.0,0.0,0.0,False,2019-05-21,0
72030,2019-05-21 16:19:10+00:00,OTHER,19.0,MAGSTRIPE,6.47,62.68,RI,44.0,US,1.0,1.0,0.0,False,2019-05-21,0
492650,2019-05-21 14:12:19+00:00,ECOMMERCE,19.0,MANUAL,299.99,13529.06,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
492490,2019-05-21 20:56:35+00:00,ECOMMERCE,8.0,MANUAL,35.55,196.75,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
2333761,2019-05-21 16:41:24+00:00,ECOMMERCE,19.0,MANUAL,46.26,3634.96,MA,25.0,US,0.0,0.0,0.0,False,2019-05-21,0
3111002,2019-05-21 07:17:22+00:00,ECOMMERCE,9.0,MANUAL,15.87,1505.84,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
2157520,2019-05-21 04:07:57+00:00,ECOMMERCE,3.0,MANUAL,8.44,0.0,IL,17,US,0.0,0.0,0.0,False,2019-05-21,0
71956,2019-05-21 22:49:50+00:00,OTHER,13.0,CHIP,9.06,499.7,CO,8.0,US,1.0,1.0,1.0,False,2019-05-21,0
492974,2019-05-21 02:08:06+00:00,ECOMMERCE,6.0,MANUAL,20.73,35.55,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
1588261,2019-05-21 14:00:57+00:00,ECOMMERCE,6.0,MANUAL,62.89,28.55,FL,12,US,0.0,0.0,0.0,False,2019-05-21,0
72074,2019-05-21 02:59:41+00:00,OTHER,16.0,CHIP,8.78,219.94,NE,31.0,US,1.0,1.0,1.0,False,2019-05-21,0
492469,2019-05-21 23:51:28+00:00,ECOMMERCE,16.0,MANUAL,35.28,2279.86,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
2513427,2019-05-21 13:18:01+00:00,OTHER,8.0,CHIP,4.74,38.39,NJ,34.0,US,1.0,1.0,1.0,False,2019-05-21,0
2333760,2019-05-21 16:45:43+00:00,ECOMMERCE,25.0,MANUAL,47.67,3587.29,MA,25.0,US,0.0,0.0,0.0,False,2019-05-21,0
1115318,2019-05-28 18:04:52+00:00,ECOMMERCE,20.0,MANUAL,13.22,1762.82,CA,6,US,0.0,0.0,0.0,False,2019-05-28,0
71074,2019-05-28 16:32:20+00:00,ECOMMERCE,18.0,UNKNOWN,2000.0,3798.88,ME,23.0,US,0.0,0.0,0.0,False,2019-05-28,0
