,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,pin_present,date,is_fraud,hour,month,dayofweek,year
0,0,43.0,4,220.0,1490.96,33,25,0,0,0,0,2018-12-25,1,11,12,1,2018
1,0,86.0,4,195.0,2100.96,33,25,0,0,0,0,2018-12-25,1,12,12,1,2018
2,0,61.0,4,220.0,1050.96,33,25,0,0,0,0,2018-12-25,1,12,12,1,2018
3,0,64.0,4,220.0,1270.96,33,25,0,0,0,0,2018-12-25,1,12,12,1,2018
4,0,98.0,4,1426.6,4374.92,48,22,0,0,0,0,2019-01-27,1,21,1,6,2019
5,2,66.0,2,12.0,124.95,43,25,1,1,1,0,2019-05-06,1,21,5,0,2019
6,2,40.0,2,12.0,136.95,43,25,1,1,1,0,2019-05-06,1,21,5,0,2019
7,2,81.0,2,2.14,122.81,22,25,1,1,1,0,2019-05-07,1,15,5,1,2019
8,0,27.0,4,47.83,4425.89,4,25,0,0,0,0,2019-05-21,0,19,5,1,2019
9,2,1.0,4,10.0,1744.15,7,25,0,0,1,0,2019-05-21,0,18,5,1,2019
10,2,28.0,1,664.34,1506.44,12,25,1,1,0,0,2019-05-21,0,23,5,1,2019
11,0,5.0,4,13.04,1506.36,52,25,0,0,0,0,2019-05-21,0,20,5,1,2019
12,0,34.0,4,69.94,1877.69,4,25,0,0,0,0,2019-05-21,0,20,5,1,2019
13,0,22.0,4,146.56,126.9,46,25,0,0,0,0,2019-05-21,0,13,5,1,2019
14,0,10.0,4,21.06,2843.65,7,25,0,0,0,0,2019-05-21,0,21,5,1,2019
15,0,16.0,4,25.87,8631.39,4,25,0,0,0,0,2019-05-21,0,6,5,1,2019
16,2,15.0,1,6.69,27.88,47,25,1,1,1,0,2019-05-21,0,21,5,1,2019
17,0,22.0,4,34.96,9896.13,4,25,0,0,0,0,2019-05-21,0,8,5,1,2019
18,0,25.0,4,97.0,286.49,7,25,0,0,0,0,2019-05-21,0,20,5,1,2019
19,0,25.0,4,129.4,9967.51,4,25,0,0,0,0,2019-05-21,0,9,5,1,2019
20,2,26.0,1,26.99,98.58,7,25,1,1,1,0,2019-05-21,0,3,5,1,2019
21,2,27.0,1,40.65,0.0,12,25,1,1,1,0,2019-05-21,0,22,5,1,2019
22,0,5.0,4,50.0,0.0,36,25,0,0,0,0,2019-05-21,0,17,5,1,2019
