,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,pin_present,date,is_fraud,hour,month,dayofweek,year
0,2,54.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
1,2,27.0,1,7.75,51.8,20,33,1,1,1,0,2018-12-25,0,19,12,1,2018
2,2,54.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
3,0,86.0,4,195.0,2100.96,36,33,0,0,0,0,2018-12-25,1,12,12,1,2018
4,0,43.0,4,220.0,1490.96,36,33,0,0,0,0,2018-12-25,1,11,12,1,2018
5,2,52.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
6,2,35.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
7,2,37.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
8,2,59.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
9,2,47.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
10,2,37.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
11,2,34.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
12,2,54.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
13,2,54.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
14,0,32.0,4,17.5,1387.17,10,33,0,0,0,0,2018-12-25,0,22,12,1,2018
15,2,52.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
16,2,35.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
17,2,37.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
18,2,59.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
19,2,47.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
20,2,37.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
21,2,34.0,5,52.79,0.0,52,32,0,0,0,0,2018-12-25,1,0,12,1,2018
22,0,61.0,4,220.0,1050.96,36,33,0,0,0,0,2018-12-25,1,12,12,1,2018
23,0,64.0,4,220.0,1270.96,36,33,0,0,0,0,2018-12-25,1,12,12,1,2018
24,0,31.0,4,14.7,1333.74,10,33,0,0,0,0,2018-12-25,0,23,12,1,2018
25,0,28.0,4,23.95,3889.14,10,33,0,0,0,0,2018-12-25,0,20,12,1,2018
26,0,35.0,4,20.15,3323.75,57,33,0,0,0,0,2018-12-25,0,0,12,1,2018
27,2,18.0,3,26.08,1224.32,51,33,1,1,1,0,2018-12-25,0,23,12,1,2018
28,0,24.0,4,66.69,132.24,36,33,0,0,0,0,2018-12-25,0,6,12,1,2018
29,0,14.0,4,12.91,278.79,10,33,0,0,0,0,2018-12-25,0,0,12,1,2018
30,0,26.0,4,14.0,2542.86,10,33,0,0,0,0,2018-12-25,0,3,12,1,2018
31,0,29.0,4,17.0,1316.74,10,33,0,0,0,0,2018-12-25,0,23,12,1,2018
32,0,47.0,4,22.55,4292.03,7,33,0,0,0,0,2018-12-25,0,22,12,1,2018
33,2,30.0,1,114.08,57.13,45,33,1,1,1,0,2018-12-25,0,2,12,1,2018
34,2,26.0,1,14.33,49.12,51,33,1,1,1,0,2018-12-25,0,2,12,1,2018
35,0,32.0,4,7.33,1603.08,10,33,0,0,0,0,2018-12-25,0,22,12,1,2018
36,0,26.0,4,225.36,152.58,29,33,0,0,0,0,2018-12-25,0,15,12,1,2018
