key,user_transaction_time,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,acceptor_state,cardholder_presence,card_presence,partial_approval_capable,pin_present,cc_acceptor_country
ed350de1-b79c-4807-9e87-cc84fa0bbc56,2022-03-25T04:16:11Z,ECOMMERCE,8,CARD_ON_FILE,340.0,569.97,CA,06,0,0,0,false,US
a0f9ae35-b122-46dd-9ea5-46aa8aee5d58,2022-03-25T03:54:49Z,OTHER,2,CHIP,8.32,302.75,NE,31,1,1,1,false,US
b51e5053-2e2c-4de1-aa77-77954107ddef,2022-03-25T03:54:06Z,ECOMMERCE,6,CARD_ON_FILE,5.81,79.81,TX,48,0,0,0,false,US
b54ec595-a95b-4957-903e-2e9aeaed194e,2022-03-25T03:51:31Z,ECOMMERCE,15,MANUAL,3644.73,349.98,NJ,34,0,0,0,false,US
61da703a-1d55-492d-8a3f-c1f5fe42eb78,2022-03-25T03:49:20Z,MOTO,10,MANUAL,73.57,496.4,WA,53,0,0,0,false,US
ca08cd3e-f550-4e21-96c1-0d7233ecdb02,2022-03-25T03:47:39Z,ECOMMERCE,9,CARD_ON_FILE,7.62,85.62,TX,48,0,0,0,false,US
a03f2058-7fdd-4cd7-ae19-6a58d8a21310,2022-03-25T03:42:15Z,OTHER,12,CHIP,22.74,740.67,CA,06,1,1,1,false,US
38ec8469-8265-4131-b050-a4085f813e46,2022-03-25T03:26:12Z,ECOMMERCE,9,CARD_ON_FILE,8.35,93.24,TX,48,0,0,0,false,US
241f1ab2-1005-437e-b623-4f4e6548baaf,2022-03-25T03:23:32Z,ECOMMERCE,22,CARD_ON_FILE,75.75,463.92,WA,53,0,0,0,false,US
93d175e8-5ee7-4054-8264-9b7841aa6154,2022-03-25T03:17:57Z,ECOMMERCE,23,CARD_ON_FILE,47.9,0.0,CA,06,0,0,0,false,US
42f33c53-b79c-4e90-8551-6a4b8df2f4fe,2022-03-25T03:17:08Z,ECOMMERCE,1,CARD_ON_FILE,419.88,125.47,ID,16,0,0,0,false,US
46c677bd-97d4-437d-9f6e-cec1e9ccca62,2022-03-25T03:17:02Z,ECOMMERCE,1,CARD_ON_FILE,56.84,545.35,ID,16,0,0,0,false,US
3dbec271-f50d-4c55-b983-f2dd4d6e7288,2022-03-25T03:14:14Z,OTHER,1,CHIP,39.56,1012.88,CA,06,1,1,0,false,US
bf6f475d-2f25-4448-ba01-a33c654b0d6a,2022-03-25T03:13:37Z,ECOMMERCE,7,CARD_ON_FILE,220.0,909.97,CA,06,0,0,0,false,US
b0222cce-6930-4fa3-80be-33b578bc67ba,2022-03-25T03:08:27Z,ECOMMERCE,10,CARD_ON_FILE,17.81,101.59,TX,48,0,0,0,false,US
103c9e5b-2167-4f2a-b7a3-c5448ed2450d,2022-03-25T03:07:45Z,MOTO,20,CARD_ON_FILE,49.0,0.0,KS,20,0,0,0,false,US
ddf43cfb-096c-4d80-b917-506acdd3fb80,2022-03-25T03:06:03Z,ECOMMERCE,1,MANUAL,8.99,0.0,WA,53,0,0,0,false,US
f6d1ed25-eecc-4de7-bcb2-55e0a64db847,2022-03-25T02:58:04Z,ECOMMERCE,20,CARD_ON_FILE,195.38,119.4,UT,49,0,0,0,false,US
839babe9-de91-424a-9993-0228288670f5,2022-03-25T02:50:34Z,ECOMMERCE,1,CARD_ON_FILE,12.6,602.19,ID,16,0,0,0,false,US
fc9d3d0e-f952-4222-9b12-7aa3767c717b,2022-03-25T02:50:12Z,ECOMMERCE,15,CARD_ON_FILE,238.0,314.78,UT,49,0,0,0,false,US
e63f3f63-b9b5-4c8e-b2c0-432b1b690e6f,2022-03-25T02:38:02Z,ECOMMERCE,3,CARD_ON_FILE,29.53,56.53,CA,06,0,0,0,false,US
3a69ddf6-d1d3-4fe6-86d5-5e33cb9f3dd9,2022-03-25T02:30:09Z,MOTO,1,CARD_ON_FILE,4.99,0.0,NY,36,0,0,0,false,US
06c32520-1de0-45a0-ad8c-a88a42d41098,2022-03-25T02:30:07Z,MOTO,1,CARD_ON_FILE,5.0,4.99,NY,36,0,0,0,false,US
e59c4811-cb1a-4605-8a6b-846a3abf31d5,2022-03-25T02:30:05Z,ECOMMERCE,4,CARD_ON_FILE,10.82,552.78,TX,48,0,0,0,false,US
0d3435fe-fd1d-4f26-9d81-a53e50d2638b,2022-03-25T02:29:43Z,MOTO,4,CARD_ON_FILE,299.26,1861.18,CA,06,0,0,0,false,US
2c36780c-e2ee-4bdf-aa4c-350066781022,2022-03-25T02:29:25Z,MOTO,5,CARD_ON_FILE,345.83,2160.44,CA,06,0,0,0,false,US
335779c5-de6d-4447-a2f1-c7559488bc90,2022-03-25T02:20:30Z,ECOMMERCE,2,CARD_ON_FILE,19.68,42.95,CA,06,0,0,0,false,US
b7c6f695-fa7d-42c4-8938-6a3c713104fa,2022-03-25T02:14:09Z,ECOMMERCE,13,CARD_ON_FILE,64.06,384.03,CA,06,0,0,0,false,US
4d3e5c98-ca02-4f00-a44b-880096b4d22d,2022-03-25T02:13:17Z,ECOMMERCE,14,CARD_ON_FILE,64.14,448.09,CA,06,0,0,0,false,US
127be5ff-1456-49db-ae55-e64c6c45792e,2022-03-25T02:12:20Z,ECOMMERCE,13,CARD_ON_FILE,64.88,130.26,CA,06,0,0,0,false,US
deedb6f0-6ec5-4c57-972e-77af2980f988,2022-03-25T02:11:25Z,ECOMMERCE,15,CARD_ON_FILE,59.87,195.14,CA,06,0,0,0,false,US
80d8ff4f-b4cb-4617-bd51-57d8b784ebe1,2022-03-25T02:10:27Z,ECOMMERCE,12,CARD_ON_FILE,64.81,701.94,CA,06,0,0,0,false,US
8ae72968-fcba-482c-82b0-4802eaf5f728,2022-03-25T02:09:33Z,ECOMMERCE,16,CARD_ON_FILE,59.87,512.23,CA,06,0,0,0,false,US
d635efad-a42f-4c98-a8c1-4bd2fcdac8d3,2022-03-25T02:08:22Z,ECOMMERCE,11,CARD_ON_FILE,64.06,766.75,CA,06,0,0,0,false,US
d378b506-6b24-4ea0-8077-7c3f1627215d,2022-03-25T02:07:14Z,ECOMMERCE,10,CARD_ON_FILE,64.06,830.81,CA,06,0,0,0,false,US
2a97e25a-72ae-4923-ade0-7a9d2272d321,2022-03-25T02:06:08Z,ECOMMERCE,12,CARD_ON_FILE,65.18,572.1,CA,06,0,0,0,false,US
469c8850-c4c0-4780-b381-ca477d3d6355,2022-03-25T02:05:12Z,ECOMMERCE,8,CARD_ON_FILE,64.36,255.01,CA,06,0,0,0,false,US
70bc14fa-0fbb-42fe-82a6-cfd861ced3e2,2022-03-25T02:04:15Z,ECOMMERCE,7,CARD_ON_FILE,64.66,637.28,CA,06,0,0,0,false,US
73fbe26d-a8a8-4503-bf35-526b6882906c,2022-03-25T02:03:15Z,ECOMMERCE,5,CARD_ON_FILE,64.06,894.87,CA,06,0,0,0,false,US
306288e9-5b53-44bb-9767-e377ee31dd37,2022-03-25T02:02:06Z,ECOMMERCE,4,CARD_ON_FILE,64.66,319.37,CA,06,0,0,0,false,US
6e603453-5053-4e04-b61b-4277beecf33d,2022-03-25T02:00:46Z,OTHER,7,CHIP,36.39,55.37,FL,12,0,0,1,false,US
0001f207-ef66-48f2-9461-13d6745a5c60,2022-03-25T01:43:18Z,ECOMMERCE,14,CARD_ON_FILE,64.35,563.6,UT,49,0,0,0,false,US
87a7ee6c-0edb-4811-8b2c-1de782e99ca2,2022-03-25T01:26:51Z,ECOMMERCE,2,MANUAL,13.62,137.7,OH,39,0,0,0,false,US
43f7e73e-5976-468f-92cf-05380488f169,2022-03-25T01:25:08Z,ECOMMERCE,1,MANUAL,13.33,517.91,OH,39,0,0,0,false,US
ff72841d-ccec-44ed-ba1d-bf37dafcbde3,2022-03-25T01:18:57Z,ECOMMERCE,1,MANUAL,6.99,58.27,WA,53,0,0,0,false,US
9b9fadde-3670-4f7b-837d-50e3452cc968,2022-03-25T01:16:55Z,ECOMMERCE,2,MANUAL,12.79,551.7,DE,10,0,0,0,false,US
7b8b083b-86e9-4dea-a05f-600b126e34d1,2022-03-25T01:16:12Z,ECOMMERCE,18,MANUAL,185.85,0.0,,,0,0,0,false,PT
4fbb3c4b-c70d-469f-8bf0-1e90465ad50f,2022-03-25T01:14:12Z,ECOMMERCE,2,CARD_ON_FILE,24.71,176.01,CA,06,0,0,0,false,US
d468e679-242e-438f-94e6-93ab32bb273e,2022-03-25T01:11:07Z,MOTO,3,MANUAL,87.02,622.25,GA,13,0,0,0,false,US
4932c7d1-59bf-4dec-bfc6-31d790f13ceb,2022-03-25T01:10:48Z,ECOMMERCE,6,MANUAL,501.92,0.0,WA,53,0,0,0,false,US
d0e1b608-53e7-428b-b281-1dedcffe150a,2022-03-25T01:03:53Z,OTHER,14,CHIP,289.16,275.76,FL,12,1,1,1,false,US
31474318-d652-4e34-b9f7-5905d4a9cec6,2022-03-25T00:57:14Z,ECOMMERCE,1,CARD_ON_FILE,4.26,25.08,NY,36,0,0,0,false,US
dd779670-2ac5-4103-9fe5-d530e30186a0,2022-03-25T00:56:57Z,OTHER,2,CHIP,91.85,192.57,TX,48,1,1,0,false,US
c34a2b82-a28e-4e09-bc35-14e47db05ec9,2022-03-25T00:54:52Z,ECOMMERCE,1,CARD_ON_FILE,4.83,29.34,NY,36,0,0,0,false,US
389d4eab-a37b-4388-94ba-481920a4004c,2022-03-25T00:54:28Z,OTHER,3,CHIP,198.23,814.65,CA,06,1,1,0,false,US
ab692f8b-d649-420b-a137-61c3224ef214,2022-03-25T00:53:03Z,ECOMMERCE,2,MANUAL,12.58,218.03,OH,39,0,0,0,false,US
2be10eed-dd7f-43e5-849f-4e6964d499f7,2022-03-25T00:52:51Z,ECOMMERCE,1,CARD_ON_FILE,4.47,0.0,NY,36,0,0,0,false,US
386b54dc-6996-4c6a-9ecd-544dd504843d,2022-03-25T00:51:04Z,ECOMMERCE,2,MANUAL,13.34,491.02,OH,39,0,0,0,false,US
