,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,is_fraud,hour,month,dayofweek,year
0,OTHER,30.0,CHIP,114.08,57.13,PA,US,1,1,1,0,2,12,1,2018
1,ECOMMERCE,26.0,MANUAL,34.66,3.22,NY,US,0,0,0,0,2,12,1,2018
2,ECOMMERCE,33.0,MANUAL,39.0,3767.11,AR,US,0,0,0,0,7,12,1,2018
3,OTHER,28.0,CHIP,5.97,0.0,CA,US,1,1,1,0,5,12,1,2018
4,OTHER,26.0,MAGSTRIPE,31.33,49.95,TX,US,1,1,1,0,21,12,1,2018
5,ECOMMERCE,29.0,MANUAL,32.95,867.5,CA,US,0,0,0,0,6,12,1,2018
6,ECOMMERCE,26.0,MANUAL,225.36,152.58,MN,US,0,0,0,0,15,12,1,2018
7,ECOMMERCE,32.0,MANUAL,7.33,1603.08,CA,US,0,0,0,0,22,12,1,2018
8,ECOMMERCE,47.0,MANUAL,22.55,4292.03,AR,US,0,0,0,0,22,12,1,2018
9,ECOMMERCE,14.0,MANUAL,12.91,278.79,CA,US,0,0,0,0,0,12,1,2018
10,ECOMMERCE,31.0,MANUAL,14.7,1333.74,CA,US,0,0,0,0,23,12,1,2018
11,ECOMMERCE,26.0,MANUAL,14.0,2542.86,CA,US,0,0,0,0,3,12,1,2018
12,ECOMMERCE,24.0,MANUAL,18.95,2253.49,CA,US,0,0,0,0,23,12,1,2018
13,ECOMMERCE,24.0,MANUAL,66.69,132.24,NJ,US,0,0,0,0,6,12,1,2018
14,OTHER,18.0,MAGSTRIPE,26.08,1224.32,TX,US,1,1,1,0,23,12,1,2018
15,ECOMMERCE,35.0,MANUAL,20.15,3323.75,WI,US,0,0,0,0,0,12,1,2018
16,ECOMMERCE,28.0,MANUAL,23.95,3889.14,CA,US,0,0,0,0,20,12,1,2018
17,OTHER,57.0,CHIP,24.95,370.87,NV,US,1,1,1,0,17,12,1,2018
18,ECOMMERCE,29.0,MANUAL,17.0,1316.74,CA,US,0,0,0,0,23,12,1,2018
19,ECOMMERCE,32.0,MANUAL,17.5,1387.17,CA,US,0,0,0,0,22,12,1,2018
20,OTHER,26.0,CHIP,14.33,49.12,TX,US,1,1,1,0,2,12,1,2018
21,ECOMMERCE,86.0,MANUAL,195.0,2100.96,NJ,US,0,0,0,1,12,12,1,2018
22,ECOMMERCE,61.0,MANUAL,220.0,1050.96,NJ,US,0,0,0,1,12,12,1,2018
23,OTHER,27.0,CHIP,7.75,51.8,IL,US,1,1,1,0,19,12,1,2018
24,,54.0,,52.79,,,,,,,1,0,12,1,2018
25,,34.0,,52.79,,,,,,,1,0,12,1,2018
26,,54.0,,52.79,,,,,,,1,0,12,1,2018
27,,37.0,,52.79,,,,,,,1,0,12,1,2018
28,,47.0,,52.79,,,,,,,1,0,12,1,2018
29,,59.0,,52.79,,,,,,,1,0,12,1,2018
30,,37.0,,52.79,,,,,,,1,0,12,1,2018
31,,35.0,,52.79,,,,,,,1,0,12,1,2018
32,ECOMMERCE,64.0,MANUAL,220.0,1270.96,NJ,US,0,0,0,1,12,12,1,2018
33,,52.0,,52.79,,,,,,,1,0,12,1,2018
34,ECOMMERCE,43.0,MANUAL,220.0,1490.96,NJ,US,0,0,0,1,11,12,1,2018
35,ECOMMERCE,30.0,MANUAL,39.0,7853.79,AR,US,0,0,0,0,14,12,3,2018
36,ECOMMERCE,29.0,MANUAL,9.49,5914.35,CA,US,0,0,0,0,16,12,3,2018
37,ECOMMERCE,36.0,MANUAL,496.5,867.31,IL,US,0,0,0,0,10,12,3,2018
38,ECOMMERCE,35.0,MANUAL,40.45,1878.86,NY,US,0,0,0,0,18,12,3,2018
39,OTHER,30.0,CHIP,5.66,5.1,NJ,US,1,1,1,0,20,12,3,2018
40,ECOMMERCE,27.0,MANUAL,27.5,270.85,CA,US,0,0,0,0,4,12,3,2018
41,ECOMMERCE,33.0,MANUAL,30.9,430.26,CA,US,0,0,0,0,18,12,3,2018
42,OTHER,29.0,MANUAL,60.87,3990.19,NY,US,0,0,0,0,18,12,3,2018
43,ECOMMERCE,31.0,MANUAL,35.8,1525.38,AR,US,0,0,0,0,3,12,3,2018
44,ECOMMERCE,31.0,MANUAL,35.99,3528.64,CA,US,0,0,0,0,10,12,3,2018
45,OTHER,21.0,CHIP,432.0,963.91,CA,US,1,1,1,0,19,12,3,2018
46,ECOMMERCE,27.0,MANUAL,1320.0,2.0,MD,US,0,0,0,0,16,12,3,2018
47,ECOMMERCE,25.0,MANUAL,123.26,2378.31,AR,US,0,0,0,0,1,12,3,2018
