,user_transaction_time,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,pin_present,date,is_fraud
2826821,2018-12-25 02:52:37+00:00,OTHER,30.0,CHIP,114.08,57.13,PA,42.0,US,1.0,1.0,1.0,False,2018-12-25,0
2682222,2018-12-25 02:08:17+00:00,ECOMMERCE,26.0,MANUAL,34.66,3.22,NY,36,US,0.0,0.0,0.0,False,2018-12-25,0
660477,2018-12-25 07:28:11+00:00,ECOMMERCE,33.0,MANUAL,39.0,3767.11,AR,5.0,US,0.0,0.0,0.0,False,2018-12-25,0
1262291,2018-12-25 05:22:31+00:00,OTHER,28.0,CHIP,5.97,0.0,CA,6.0,US,1.0,1.0,1.0,False,2018-12-25,0
2960302,2018-12-25 21:05:55+00:00,OTHER,26.0,MAGSTRIPE,31.33,49.95,TX,48.0,US,1.0,1.0,1.0,False,2018-12-25,0
1262282,2018-12-25 06:46:23+00:00,ECOMMERCE,29.0,MANUAL,32.95,867.5,CA,6.0,US,0.0,0.0,0.0,False,2018-12-25,0
2408924,2018-12-25 15:30:25+00:00,ECOMMERCE,26.0,MANUAL,225.36,152.58,MN,27.0,US,0.0,0.0,0.0,False,2018-12-25,0
1262160,2018-12-25 22:05:55+00:00,ECOMMERCE,32.0,MANUAL,7.33,1603.08,CA,6.0,US,0.0,0.0,0.0,False,2018-12-25,0
660432,2018-12-25 22:18:21+00:00,ECOMMERCE,47.0,MANUAL,22.55,4292.03,AR,5.0,US,0.0,0.0,0.0,False,2018-12-25,0
1262345,2018-12-25 00:20:09+00:00,ECOMMERCE,14.0,MANUAL,12.91,278.79,CA,6.0,US,0.0,0.0,0.0,False,2018-12-25,0
1262138,2018-12-25 23:13:06+00:00,ECOMMERCE,31.0,MANUAL,14.7,1333.74,CA,6.0,US,0.0,0.0,0.0,False,2018-12-25,0
1262310,2018-12-25 03:12:41+00:00,ECOMMERCE,26.0,MANUAL,14.0,2542.86,CA,6.0,US,0.0,0.0,0.0,False,2018-12-25,0
1262130,2018-12-25 23:33:28+00:00,ECOMMERCE,24.0,MANUAL,18.95,2253.49,CA,6.0,US,0.0,0.0,0.0,False,2018-12-25,0
2540873,2018-12-25 06:47:01+00:00,ECOMMERCE,24.0,MANUAL,66.69,132.24,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,0
2960298,2018-12-25 23:04:59+00:00,OTHER,18.0,MAGSTRIPE,26.08,1224.32,TX,48.0,US,1.0,1.0,1.0,False,2018-12-25,0
3314274,2018-12-25 00:17:24+00:00,ECOMMERCE,35.0,MANUAL,20.15,3323.75,WI,55.0,US,0.0,0.0,0.0,False,2018-12-25,0
1262186,2018-12-25 20:39:22+00:00,ECOMMERCE,28.0,MANUAL,23.95,3889.14,CA,6.0,US,0.0,0.0,0.0,False,2018-12-25,0
2608170,2018-12-25 17:03:11+00:00,OTHER,57.0,CHIP,24.95,370.87,NV,32.0,US,1.0,1.0,1.0,False,2018-12-25,0
1262140,2018-12-25 23:11:26+00:00,ECOMMERCE,29.0,MANUAL,17.0,1316.74,CA,6.0,US,0.0,0.0,0.0,False,2018-12-25,0
1262153,2018-12-25 22:26:59+00:00,ECOMMERCE,32.0,MANUAL,17.5,1387.17,CA,6.0,US,0.0,0.0,0.0,False,2018-12-25,0
2960319,2018-12-25 02:49:43+00:00,OTHER,26.0,CHIP,14.33,49.12,TX,48.0,US,1.0,1.0,1.0,False,2018-12-25,0
393,2018-12-25 12:08:10+00:00,ECOMMERCE,86.0,MANUAL,195.0,2100.96,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,1
392,2018-12-25 12:22:59+00:00,ECOMMERCE,61.0,MANUAL,220.0,1050.96,NJ,34.0,US,0.0,0.0,0.0,False,2018-12-25,1
2224206,2018-12-25 19:17:27+00:00,OTHER,27.0,CHIP,7.75,51.8,IL,17.0,US,1.0,1.0,1.0,False,2018-12-25,0
414,2018-12-25 00:00:00+00:00,,54.0,,52.79,,,,,,,,,2018-12-25,1
413,2018-12-25 00:00:00+00:00,,34.0,,52.79,,,,,,,,,2018-12-25,1
412,2018-12-25 00:00:00+00:00,,54.0,,52.79,,,,,,,,,2018-12-25,1
411,2018-12-25 00:00:00+00:00,,37.0,,52.79,,,,,,,,,2018-12-25,1
410,2018-12-25 00:00:00+00:00,,47.0,,52.79,,,,,,,,,2018-12-25,1
409,2018-12-25 00:00:00+00:00,,59.0,,52.79,,,,,,,,,2018-12-25,1
408,2018-12-25 00:00:00+00:00,,37.0,,52.79,,,,,,,,,2018-12-25,1
